client_id,cluster,tipo_cliente
1d94ae0b1c45edf45b744a7c9ea8175124f057ce101bbdb2b09a7786e79e1c36,0,ativo
1daa95118e4f307161a06ee75ecae00c3280c307afe311f729f9cd631efe4407,0,ativo
1dd3f6ce0eab5755b623f016150775485e515f56c90a9a0019eb9514e0a4ff55,3,recorrente
1deb9234dac935b779b03ee3f28391395b040504c50f0cd45a1696912a6af43f,0,ativo
1dedf45a195644aaebff6cbef251e00ab2ba42c6983ae732d90880122a4d5999,0,ativo
1def3248fdbf6392191576f2e950f64465bc2d09e92a6fddea04dbc04e98fdaf,3,recorrente
1e16bb10d1a0e4286aa67c3c7f4de78cbe8247907e30763cae822dc63187b196,3,recorrente
1e42f4a6c2173d28c9fc8bf6ba82cc6d9b729b071d2d8c2f0ea7fe4e2162b81e,3,recorrente
1e4ed856ad6ad85c8f2da9d428b2a1235659dbcee0995dcd79240fa4cdbde849,2,novo
1e579f416580fd659fedb301da742256b62cb48873b39bd28ed35eb738f542ca,3,recorrente
1e6d68c1dd7af1a311180fd555ea41176d38c0585b79dbe854bf2c7b0414142c,0,ativo
1e759b0192848660340b6530f3bebec72d3e7593d3dcf54b5fb0c6a2fc7cf7dc,1,unico
1e8809def191d6a2bfd6995ff7c20e2caacece4aaece55b06aa7538162076e27,0,ativo
1e984de0fc05875d745a0639d011666606a0f15577259e0f80bca6e2d38516ee,0,ativo
1ed8c57dcf8c912a121c6b6468d18b5f4b35fdb9e86765b06cd19fbcd9b42e79,3,recorrente
1ef832fd3c89a3a74c48582930ceabe37b77625462fc25eab1d4576a4dcb2fcf,0,ativo
1ef87035d7b41833bd35ce11bc9ad17d9b65b79bde9275f426ad959c86c14bca,0,ativo
1f07064b3b067780e35d28655b5efa56bba99e947c39010f40f98ac87dceee29,0,ativo
1f2f4378ff3b687d80f3d2bb495eb01ff4d4265bcf1b2aeabc10fc6c745076ad,2,novo
1f38a20663594734058be4ecdd8ec16611604d32d6cb3538fac205a8b91962f0,0,ativo
1f6557a6c36af02a112a6ff4aedd9387d74954024d6fb83672f7cb77182c0df8,2,novo
1f75c978732533bb5fc2e6acc6535aa942415645e309641513a089744c449961,0,ativo
1f775e839237c0668f6630c5bdda728969c1454c6df5a10ae7771ec3ea0f1b0a,3,recorrente
1f7b22e64355aedf829b31d0cb9e5dc45f6e2a0d16af0010bdb920f032b4a581,0,ativo
1f89b2bd7e1b37a6d85db2ae58cad4937d01540fd331168b0adef431c6b6db55,0,ativo
